started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2024-02-01 06:29:14.903000+00:00,2024-02-01 06:38:31.779000+00:00,556,530,Holbergs plass,ved Welhavens gate,59.9193095,10.7343051,2315,Rostockgata,utenfor Bjørvika visningssenter,59.90691970255054,10.760311802881915
2024-02-01 06:29:27.538000+00:00,2024-02-01 06:38:56.371000+00:00,568,421,Alexander Kiellands Plass,langs Maridalsveien,59.92806670615684,10.751202636819613,787,Kirkegata 15,ved Kunnskapsdepartamentet,59.91015615055511,10.743456971511705
2024-02-01 06:31:04.171000+00:00,2024-02-01 06:40:29.006000+00:00,564,433,Ila,langs Uelandsgt ved Colletts,59.931828,10.748745,396,Kirkeristen,ved Torggata,59.91300035973293,10.746760585982287
2024-02-01 06:31:05.208000+00:00,2024-02-01 06:36:52.120000+00:00,346,448,Oslo Plaza,ved rundkjøringen,59.91218291295141,10.7544337247013,455,Sofienbergparken sør,langs Sofienberggata,59.922337,10.7617503
2024-02-01 06:34:16.039000+00:00,2024-02-01 06:52:14.704000+00:00,1078,592,Badebakken,langs Maridalsveien,59.94558091179507,10.760323881579982,481,Rådhusgata,ved Kontraskjæret trikkestopp,59.910924,10.736215
2024-02-01 06:37:23.600000+00:00,2024-02-01 06:43:28.731000+00:00,365,465,Bjørvika,under broen Nylandsveien,59.909006,10.75618,577,Arkaden Nord,langs Dronningens gate,59.9121472,10.7480527
2024-02-01 06:37:42.787000+00:00,2024-02-01 06:50:13.669000+00:00,750,970,Enerhaugen,ved Sørligata,59.91320242563816,10.767579386407874,2280,Klingenberggata,By Olav V street,59.913150534075015,10.732281291700133
2024-02-01 06:39:40.817000+00:00,2024-02-01 06:43:12.700000+00:00,211,535,Uranienborgveien,vest for Slottsparken,59.9200421,10.726634,530,Holbergs plass,ved Welhavens gate,59.9193095,10.7343051
2024-02-01 06:40:55.400000+00:00,2024-02-01 06:44:08.941000+00:00,193,495,Vaterlandsparken,langs Brugata,59.91351552854147,10.757334670552268,440,Lakkegata,ved Sundtkvartalet,59.9172088,10.7622135
2024-02-01 06:41:35.936000+00:00,2024-02-01 07:10:20.820000+00:00,1724,455,Sofienbergparken sør,langs Sofienberggata,59.922337,10.7617503,484,Karenslyst allé,ved Skabos vei,59.92033,10.683814
2024-02-01 06:42:34.133000+00:00,2024-02-01 06:51:57.031000+00:00,562,410,Landstads gate,langs Uelands gate,59.929005,10.7496755,527,Biskop Gunnerus' gate,ved Oslo City,59.9123341,10.752292
2024-02-01 06:43:02.964000+00:00,2024-02-01 06:54:02.898000+00:00,659,555,Griffenfeldts gate,ved Colletts gate,59.9337026,10.7519299,458,Jenny Braatens Plass,langs Rosenhoffgata,59.928349,10.77837
2024-02-01 06:43:22.842000+00:00,2024-02-01 06:45:22.702000+00:00,119,2333,Akerselvallmenningen,øst for Operaen,59.90725889890288,10.754884663589621,464,Sukkerbiten,ved gangbroen,59.905124380703484,10.753763553726515
2024-02-01 06:44:00.188000+00:00,2024-02-01 06:54:36.096000+00:00,635,613,Schives gate,ved Arno Bergs plass,59.92095635370271,10.714055629614734,484,Karenslyst allé,ved Skabos vei,59.92033,10.683814
2024-02-01 06:44:45.847000+00:00,2024-02-01 06:48:53.851000+00:00,248,1755,Aker Brygge 1 mot Nasjonalmuseet,bak muren ved plattform G,59.91118372188379,10.730034556850455,611,Bankplassen,ved Kirkegata,59.908454,10.741869
2024-02-01 06:45:33.891000+00:00,2024-02-01 06:57:15.243000+00:00,701,2315,Rostockgata,utenfor Bjørvika visningssenter,59.90691970255054,10.760311802881915,2329,Via Vika,mellom bygningene ved Via Vika,59.91271286014364,10.727170827087008
2024-02-01 06:45:36.879000+00:00,2024-02-01 06:59:39.306000+00:00,842,2357,Aker Brygge 2 mot Rådhusplassen,ved plattform H i retning rådhuset,59.91111544486938,10.730396895054923,574,Annette Thommessens Plass,langs Schweigaards gate,59.9107393,10.7609998
2024-02-01 06:47:19.632000+00:00,2024-02-01 07:03:26.884000+00:00,967,598,Sofienbergparken nord,langs Helgesens gate,59.923229,10.766171,580,Georg Morgenstiernes hus,ved Moltke Moes vei,59.939025551395765,10.723002619643406
2024-02-01 06:47:24.739000+00:00,2024-02-01 06:54:17.243000+00:00,412,390,Saga Kino,langs Olav Vs gate,59.91424026794647,10.732771354719745,452,Vippetangen vest,nærmest Rådhuset,59.903989,10.740627
2024-02-01 06:47:32.408000+00:00,2024-02-01 06:50:13.295000+00:00,160,489,Torggata,ved Bernt Ankers gate,59.91598309274519,10.75155119076095,396,Kirkeristen,ved Torggata,59.91300035973293,10.746760585982287
2024-02-01 06:47:34.095000+00:00,2024-02-01 06:58:41.256000+00:00,667,2339,Elgsletta,langs Nylandsveien,59.91564920880896,10.761724502548105,2358,Aker Brygge 3 mot Fergene,ved bryggen,59.91087115068967,10.729828757277915
2024-02-01 06:48:09.788000+00:00,2024-02-01 07:04:58.643000+00:00,1008,444,AHO,langs Maridalsveien,59.925265,10.750462,512,Ensjø T-bane,langs Ensjøveien,59.9131891,10.7897605
2024-02-01 06:49:40.791000+00:00,2024-02-01 06:57:20.536000+00:00,459,584,Henrik Wergelands allé,ved Bogstadveien,59.9268942,10.7207894,396,Kirkeristen,ved Torggata,59.91300035973293,10.746760585982287
2024-02-01 06:50:45.272000+00:00,2024-02-01 06:55:47.825000+00:00,302,609,Fred Olsens gate,ved Karl Johans gate,59.9110506,10.7493737,452,Vippetangen vest,nærmest Rådhuset,59.903989,10.740627
2024-02-01 06:53:19.487000+00:00,2024-02-01 06:58:13.088000+00:00,293,748,Hydroparken,langs Drammensveien,59.914145,10.715505,456,Frognerstranda,ved Kongen Marina,59.9103558,10.7051061
2024-02-01 06:53:38.933000+00:00,2024-02-01 06:59:45.221000+00:00,366,456,Frognerstranda,ved Kongen Marina,59.9103558,10.7051061,2358,Aker Brygge 3 mot Fergene,ved bryggen,59.91087115068967,10.729828757277915
2024-02-01 06:54:10.268000+00:00,2024-02-01 07:04:02.930000+00:00,592,551,Olaf Ryes plass,langs Sofienberggata,59.922425,10.758182,2315,Rostockgata,utenfor Bjørvika visningssenter,59.90691970255054,10.760311802881915
2024-02-01 06:54:27.589000+00:00,2024-02-01 07:00:06.856000+00:00,339,455,Sofienbergparken sør,langs Sofienberggata,59.922337,10.7617503,480,Helga Helgesens plass,langs Grønlandsleiret,59.9121109,10.7661939
2024-02-01 06:55:51.192000+00:00,2024-02-01 06:58:21.181000+00:00,149,526,Lille Grensen,Ved Akersgata,59.9138973,10.7423101,509,Kjeld Stubs gate,ved hjørnet Tordenskiolds gate,59.912711,10.735595
2024-02-01 06:56:48.143000+00:00,2024-02-01 07:03:28.398000+00:00,400,609,Fred Olsens gate,ved Karl Johans gate,59.9110506,10.7493737,452,Vippetangen vest,nærmest Rådhuset,59.903989,10.740627
2024-02-01 06:57:24.416000+00:00,2024-02-01 07:01:47.254000+00:00,262,571,Over Rådhusgata,langs Nedre Slottsgate,59.9101207,10.7407129,452,Vippetangen vest,nærmest Rådhuset,59.903989,10.740627
2024-02-01 06:58:11.821000+00:00,2024-02-01 07:18:04.238000+00:00,1192,551,Olaf Ryes plass,langs Sofienberggata,59.922425,10.758182,2315,Rostockgata,utenfor Bjørvika visningssenter,59.90691970255054,10.760311802881915
2024-02-01 06:59:20.070000+00:00,2024-02-01 07:05:45.148000+00:00,385,456,Frognerstranda,ved Kongen Marina,59.9103558,10.7051061,615,Munkedamsveien,ved Haakon VIIs gate,59.9135227,10.7301061
2024-02-01 07:01:40.955000+00:00,2024-02-01 07:06:28.296000+00:00,287,480,Helga Helgesens plass,langs Grønlandsleiret,59.9121109,10.7661939,500,Anker Hotel,langs Storgata,59.9172794,10.7581553
2024-02-01 07:01:41.908000+00:00,2024-02-01 07:06:33.882000+00:00,291,443,Sjøsiden 1 ved trappen,to rader nærmest trappen,59.91014291324254,10.752003700187942,452,Vippetangen vest,nærmest Rådhuset,59.903989,10.740627
2024-02-01 07:02:59.485000+00:00,2024-02-01 07:14:41.852000+00:00,702,435,Fram-gården,langs Bygdøy Allé,59.915424,10.714577,521,Jess Carlsens gate,ved Hausmanns gate,59.9186359,10.7523939
2024-02-01 07:03:04.158000+00:00,2024-02-01 07:13:33.802000+00:00,629,480,Helga Helgesens plass,langs Grønlandsleiret,59.9121109,10.7661939,509,Kjeld Stubs gate,ved hjørnet Tordenskiolds gate,59.912711,10.735595
2024-02-01 07:03:15.319000+00:00,2024-02-01 07:12:57.282000+00:00,581,444,AHO,langs Maridalsveien,59.925265,10.750462,1755,Aker Brygge 1 mot Nasjonalmuseet,bak muren ved plattform G,59.91118372188379,10.730034556850455
2024-02-01 07:03:46.077000+00:00,2024-02-01 07:12:18.399000+00:00,512,444,AHO,langs Maridalsveien,59.925265,10.750462,523,Tøyenbekken,ved Rubina Ranas gate,59.9115945,10.7617736
